file,new_id,orig_id
pose_data/ACCAD/Female1General_c3d/A10_-_lie_to_crouch_stageii.npy,000000_00,012922
pose_data/ACCAD/Female1General_c3d/A11_-_crawl_forward_stageii.npy,000001_00,005259
pose_data/ACCAD/Female1General_c3d/A11_-_crawl_forward_stageii.npy,000001_01,009914
pose_data/ACCAD/Female1General_c3d/A12_-_crawl_backwards_stageii.npy,000002_00,007089
pose_data/ACCAD/Female1General_c3d/A12_-_crawl_backwards_stageii.npy,000002_01,012633
pose_data/ACCAD/Female1General_c3d/A14_-_stand_to_skip_stageii.npy,000003_00,009767
pose_data/ACCAD/Female1General_c3d/A15_-_skip_to_stand_stageii.npy,000004_00,002711
pose_data/ACCAD/Female1General_c3d/A1_-_Stand_stageii.npy,000005_00,004501
pose_data/ACCAD/Female1General_c3d/A2_-_Sway_t2_stageii.npy,000007_00,013686
pose_data/ACCAD/Female1General_c3d/A2_-_Sway_t2_stageii.npy,000007_01,013261
pose_data/ACCAD/Female1General_c3d/A2_-_Sway_t2_stageii.npy,000007_02,006559
pose_data/ACCAD/Female1General_c3d/A3_-_Swing_stageii.npy,000008_00,006641
pose_data/ACCAD/Female1General_c3d/A3_-_Swing_stageii.npy,000008_01,001765
pose_data/ACCAD/Female1General_c3d/A3_-_Swing_t2_stageii.npy,000009_00,000084
pose_data/ACCAD/Female1General_c3d/A4_-_look_stageii.npy,000010_00,012291
pose_data/ACCAD/Female1General_c3d/A4_-_look_stageii.npy,000010_01,005374
pose_data/ACCAD/Female1General_c3d/A5_-_pick_up_box_stageii.npy,000011_00,011672
pose_data/ACCAD/Female1General_c3d/A6-_lift_box_t2_stageii.npy,000012_00,004747
pose_data/ACCAD/Female1General_c3d/A6_-_lift_box_stageii.npy,000013_00,002139
pose_data/ACCAD/Female1General_c3d/A7_-_crouch_stageii.npy,000014_00,001625
pose_data/ACCAD/Female1General_c3d/A8_-_crouch_to_lie_stageii.npy,000015_00,012700
pose_data/ACCAD/Female1General_c3d/A9_-_lie_t2_stageii.npy,000016_00,012131
pose_data/ACCAD/Female1Gestures_c3d/D1_-_Urban_1_stageii.npy,000017_00,005534
pose_data/ACCAD/Female1Gestures_c3d/D1_-_Urban_1_stageii.npy,000017_01,007832
pose_data/ACCAD/Female1Gestures_c3d/D2_-_Wait_1_stageii.npy,000018_00,008902
pose_data/ACCAD/Female1Gestures_c3d/D2_-_Wait_1_stageii.npy,000018_01,006969
pose_data/ACCAD/Female1Gestures_c3d/D3_-_Conversation_Gestures_stageii.npy,000019_00,000441
pose_data/ACCAD/Female1Gestures_c3d/D3_-_Conversation_Gestures_stageii.npy,000019_01,001254
pose_data/ACCAD/Female1Gestures_c3d/D5_-_Random_Stuff_2_stageii.npy,000020_00,006612
pose_data/ACCAD/Female1Gestures_c3d/D5_-_Random_Stuff_2_stageii.npy,000020_01,002804
pose_data/ACCAD/Female1Gestures_c3d/D6-_CartWheel_stageii.npy,000021_00,009702
pose_data/ACCAD/Female1Gestures_c3d/Female1_Subj_Calibration_stageii.npy,000022_00,006084
pose_data/ACCAD/Female1Running_c3d/C10_-__run_backwards_stop_run_forward_stageii.npy,000023_00,003572
pose_data/ACCAD/Female1Running_c3d/C11_-__run_turn_left_(90)_stageii.npy,000024_00,003824
pose_data/ACCAD/Female1Running_c3d/C13_-__run_turn_left_(135)_stageii.npy,000025_00,002169
pose_data/ACCAD/Female1Running_c3d/C14_-__run_turn_right__(90)_stageii.npy,000026_00,011105
